"text","links","permalink","username","date","photo0","photo1","photo2","photo3"
"The new reality. Safely walking the dog. #Masks4All ","","https://twitter.com/dgrounds/status/1246535805352493061","dgrounds","2020-04-04 20:31:10+00:00","https://pbs.twimg.com/media/EUyVpokXQAIijb0.jpg","","",""
"Lovens & Lytton: Moinho Da Asneira · À Cerca Da Bela Vista À Graça I think the two Pauls may actually be on to something with these improvised face covers, making do with what they've got. Need work to allow vision though. Estimated effectiveness: 6/10 #Masks4All ","","https://twitter.com/fabiolug/status/1246535752223252481","fabiolug","2020-04-04 20:30:57+00:00","https://pbs.twimg.com/media/EUxsGnVXsAAgqrl.jpg","","",""
"i just did it myself #Masks #Masks4All ","","https://twitter.com/The_Holocron/status/1246535500803932160","The_Holocron","2020-04-04 20:29:57+00:00","https://pbs.twimg.com/media/EUxRlyVXkAAZvrS.jpg","","",""
"He is a joke #COVID2019 #TrumpPlague #TrumpPandemic #TrumpMadness #GOPBetrayedAmerica #Masks4All #MarieAntoineTrump #KushnerIsAnIdiot #JaredKushnerForPrison #StayAtHome","","https://twitter.com/margie_hathaway/status/1246535311439450112","margie_hathaway","2020-04-04 20:29:12+00:00","https://pbs.twimg.com/media/EUyVQgeUMAAMmIH.jpg","","",""
"He is a joke #COVID2019 #TrumpIsTheWORSTPresidentEVER #Trump2020 #TrumpOwnsEveryDeath #TrumpCrimeFamily #TrumpLiesAmericansDie #MarieAntoineTrump #StayAtHome #Masks4All #VentilatorShortage #KushnerIsAnIdiot","","https://twitter.com/margie_hathaway/status/1246535003728531457","margie_hathaway","2020-04-04 20:27:59+00:00","https://pbs.twimg.com/media/EUyU-o3U8AAzhpk.jpg","","",""
"@Cary_Elwes How did you know #SocialDistance #COVID2019 #Masks4All ","","https://twitter.com/KistnerSteve/status/1246534885071863808","KistnerSteve","2020-04-04 20:27:30+00:00","https://pbs.twimg.com/media/EUyU3pzWsAYqgwJ.jpg","","",""
"'Cases in 7 days if unchanged doubling time' I think I have to stop looking at charts, this is beyond depressing. People better get used to wearing masks fast. Real fast. #Masks4All #WearAMask #WearAMaskNow #MaskUp #MaskOn #COVID19 #Coronavirus https://covidgraph.com/#curve","https://covidgraph.com/#curve","https://twitter.com/wearamasknow/status/1246534685045469184","wearamasknow","2020-04-04 20:26:43+00:00","https://pbs.twimg.com/media/EUyRRLzWkAAakgd.jpg","","",""
"Masks give a false sense of security, just like condoms and seatbelts. #Masks4All ","","https://twitter.com/profbof/status/1246534243574059009","profbof","2020-04-04 20:24:57+00:00","https://pbs.twimg.com/media/EUyUSFsX0AAKq9K.jpg","","",""
"Had no thread, but 2 elastic hair ties and 2 safety pins did the trick. #Masks4All ","","https://twitter.com/yeamal/status/1246534000836894721","yeamal","2020-04-04 20:23:59+00:00","https://pbs.twimg.com/media/EUyT6ERU4AEe_wr.jpg","","",""
"Make someone SMILE with your homemade bandana masks...we have paper mask under and off to run and hike alone on an isolated stream filled trail deep in the tall trees! #welovesnoopy #masks4all #socialdistancing #trailrunning #yogicempoweredsolutions #AngelsOfStrengthAS1 ","","https://twitter.com/OmOrganicMedia/status/1246533635991207936","OmOrganicMedia","2020-04-04 20:22:32+00:00","https://pbs.twimg.com/media/EUyTusMUUAAFpL4.jpg","","",""
