"text","links","permalink","username","date","photo0","photo1"
"Mon masque te protège, ton masque me protège... #diy #eapchallenge #Masks4All ","","https://twitter.com/Cahtbus/status/1246560139026587650","Cahtbus","2020-04-04 22:07:51+00:00","""https://pbs.twimg.com/media/EUyrjlZWsAMlDrq.jpg""",""
"Qu’attend le gouvernement pour recommander ou imposer le port du masque ? #ConfinementJour19 #COVID2019 #Masks4All #DIY https://www.nouvelobs.com/coronavirus-de-wuhan/20200404.OBS27062/qu-attend-le-gouvernement-pour-recommander-ou-imposer-le-port-du-masque.html","https://www.nouvelobs.com/coronavirus-de-wuhan/20200404.OBS27062/qu-attend-le-gouvernement-pour-recommander-ou-imposer-le-port-du-masque.html","https://twitter.com/rolandsophie1/status/1246540961150361606","rolandsophie1","2020-04-04 20:51:39+00:00","""https://pbs.twimg.com/media/EUyaZUoXkAUe5iD.jpg""",""
"Masque maison patchwork doublé microfibre lavable mon frère #COVID2019 #masquespourtous #Masks4All ","","https://twitter.com/PRATOS/status/1246531433595895810","PRATOS","2020-04-04 20:13:47+00:00","""https://pbs.twimg.com/media/EUyRuDoXkAE6764.jpg""",""
"A quand la Belgique? #Masks4All ","","https://twitter.com/OrbanDoc/status/1246527286033223683","OrbanDoc","2020-04-04 19:57:19+00:00","""https://pbs.twimg.com/media/EUyN9UOXkAIJ3ej.jpg""",""
"Communiqué de l'Académie française de médecine qui recommande le port obligatoire de masques anti-projection faits maison par toute la population. #Masks4All #Masks4Mapane @PresidentABO @Sylviabongo @Pm_JulienNkoghe @NoureddinBV @DLimoukou @JessyeElla @Covid19GOUVGA","","https://twitter.com/tsonilam/status/1246523110716854272","tsonilam","2020-04-04 19:40:43+00:00","""https://pbs.twimg.com/media/EUyKJuPWAAAQ3Tb.jpg""",""
"- Est-ce que tu viens pour les vacances ? - Bah non, je reste chez moi #vacancesdepaques #Confinementotal #COVID2019 #COVID19france #COVID19fr #coronavirus #CoronavirusFrance #RestezChezVous #StayAtHomeSaveLives #chloroquine #Masks4All #COVIDー19 #COVIDIOTS #Djibouti","","https://twitter.com/SAEBAZAM/status/1246468893926883328","SAEBAZAM","2020-04-04 16:05:17+00:00","""https://pbs.twimg.com/media/EUxY04hXQAEBKUg.jpg""",""
"Las je dit al..... #Masks4All ","https://www.knack.be/nieuws/belgie/kroniek-van-de-week-over-mondmaskers-en-geloofwaardigheid/article-normal-1584617.html","https://twitter.com/an_andries/status/1246468402396495872","an_andries","2020-04-04 16:03:20+00:00","""https://pbs.twimg.com/media/EUxUNSLXYAAob6-.jpg""",""
"Oui mais ce n’est pas “tout le monde doit porter un masque”. Évidemment c’est mieux que rien (évidemment) mais porter un masque quand on est malade ou qu’on va voir un malade tombe sous le sens. Cela ne vaut pas généralisation. #Masks4All","","https://twitter.com/brubrushanghai/status/1246390164617822208","brubrushanghai","2020-04-04 10:52:26+00:00","""https://pbs.twimg.com/media/EUwQsJkU4AUgndG.jpg""",""
"#NouvellePhotoDeProfil #StayTheFHome #Masks4All , merci @ginifizz","","https://twitter.com/pborreli/status/1246176135593054208","pborreli","2020-04-03 20:41:58+00:00","""https://pbs.twimg.com/media/EUtOlyuWAAAISDs.jpg""",""
"Combien une caissière de supermarché contagieuse asymptomatique peut-elle contaminer de clients? Je peux contaminer un caissière sans #monMasqueFaitMaison mais une caissière sans masque peut contaminer beaucoup de clients #COVID19 #masquespourtous #Masks4All . Sortons couverts ","","https://twitter.com/opseudo/status/1246149614635495424","opseudo","2020-04-03 18:56:35+00:00","""https://pbs.twimg.com/media/EUhBB46WkAAemk9.jpg""",""
"La France commande aujourd'hui massivement des masques aux industries textiles car ils savent que les masques seront indispensables pour éviter une deuxième vague d'épidémie après le confinement. #Masks4All #Masks4Mapane. @PresidentABO @Pm_JulienNkoghe @DLimoukou @Sylviabongo","","https://twitter.com/tsonilam/status/1246121883420037121","tsonilam","2020-04-03 17:06:23+00:00","""https://pbs.twimg.com/media/EUsdOQZX0AYla0n.jpg""",""
"@jeremyphoward The communique of L'Académie Nationale de Medecine issued yesterday recommending #Masks4All httpp://www.academie-medecine.fr/communique-de-lacademie-pandemie-de-covid-19-mesures-barrieres-renforcees-pendant-le-confinement-et-en-phase-de-sortie-de-confinement/","","https://twitter.com/It__data/status/1246116829245906945","It__data","2020-04-03 16:46:18+00:00","""https://pbs.twimg.com/media/EUs78CYWAAUIVv1.jpg""","""https://pbs.twimg.com/media/EUs8A7PXYAMdaWL.jpg"""
"Je porte un masque quand je sors. #ConfinementJour16 #Masks4All ","","https://twitter.com/vnpenguin/status/1245956595416207362","vnpenguin","2020-04-03 06:09:35+00:00","""https://pbs.twimg.com/media/EUqGlR0XYAAh5ja.jpg""",""
"La protection dépend aussi des conditions (respiration normale, toux, éternuements). Vaut mieux porter le masque en tissu que rien du tout, puis se tenir à une distance plus respectable le cas échéant. #Masks4All ","https://twitter.com/jtchoufang/status/1245317837658472450?s=19","https://twitter.com/jtchoufang/status/1245872787023110149","jtchoufang","2020-04-03 00:36:34+00:00","""https://pbs.twimg.com/media/EUtYZNQXkAMP_Lc.jpg""",""
"La #France, l’#Italie &amp; L’#Espagne voient la courbe #COVIDー19 s’inverser #CoronaVirusUpdate #Tweet4Good #StayHomeSaveLives #Masks4All #TESTTESTTEST TY @ShiCooks cc @FrRonconi @enricomolinari @antgrasso @Fabriziobustama @rwang0 @evankirstel @sebbourguignon @Nicochan33 @viseeon","https://twitter.com/shicooks/status/1245630856837746691","https://twitter.com/JoelViseeon/status/1245804343477100546","JoelViseeon","2020-04-02 20:04:36+00:00","""https://pbs.twimg.com/media/EUpmQYdU4AA9Swq.jpg""",""
"Tous les pays en bleu clair portent des masques. Le Gabon peut encore changer la trajectoire du virus. Qu'est-ce qu'on attend? #Masks4All #Masks4Mapane @PresidentABO @SanteGOUVGA @DLimoukou @Pm_JulienNkoghe @NoureddinBV @Sylviabongo @JessyeElla","","https://twitter.com/tsonilam/status/1245791839774560258","tsonilam","2020-04-02 19:14:54+00:00","""https://pbs.twimg.com/media/EUnxEhEXgAEXaW3.jpg""",""
"Midi : bruit épouvantable à l'hôpital Purpan. On sait désormais qui est la source de tout ce mal : @Airbus @GuillaumeFaury. Shame on you. #NoiseMaker #Pollution #Corruption #Masks4All #COVID19france","","https://twitter.com/Airport_Tlse/status/1245661854434766848","Airport_Tlse","2020-04-02 10:38:24+00:00","""https://pbs.twimg.com/media/EUkGfqFX0AA6tUW.jpg""",""
"j'ai pas encore testé, mais je vais le faire, en puisant dans ma réserve stratégique d'une dizaine de masques chirurgicaux (merci @yuwenyang) mais jusqu'à maintenant pour les joggings et les petites courses, j'utilise plutôt la méthode t-shirt ninja... #masks4all ","","https://twitter.com/kaicarver/status/1245629394334302209","kaicarver","2020-04-02 08:29:24+00:00","""https://pbs.twimg.com/media/EUlczhMUUAAvUEv.jpg""",""
"#Masks4All #Masks4All Les preuves scientifiques sont accablantes: nous pouvons réduire la transmission du virus avec des masques faits maison. Veuillez vous protéger et protéger les autres en portant un masque fait maison en public et en demandant aux autres de faire de même! ","","https://twitter.com/babajouba/status/1245614411147964416","babajouba","2020-04-02 07:29:52+00:00","""https://pbs.twimg.com/media/EUimng_WsAAPC9u.jpg""",""
